Day,Port sim,Port data,Port error,National sim,National data,National error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,13,13,0.0,0,0,0.0,0,0,0,0,0,0
1,13,100,0.87,0,230,1.0,1.3782608695652174,330,243,230,13,0
2,12,121,0.9008,0,160,1.0,1.68125,281,243,160,12,70
3,11,321,0.9657,0,211,1.0,2.4691943127962084,532,243,211,11,19
4,10,202,0.9505,0,114,1.0,2.6842105263157894,316,243,114,10,116
5,10,202,0.9505,0,114,1.0,2.6842105263157894,316,243,114,10,116
6,9,202,0.9554,0,114,1.0,2.692982456140351,316,243,114,9,116
7,9,202,0.9554,0,114,1.0,2.692982456140351,316,243,114,9,116
8,9,202,0.9554,0,114,1.0,2.692982456140351,316,243,114,9,116
9,9,202,0.9554,4,114,0.9649,2.6578947368421053,316,243,114,13,116
10,8,202,0.9604,6,114,0.9474,2.6491228070175437,316,243,114,14,116
11,8,202,0.9604,7,114,0.9386,2.6403508771929824,316,243,114,15,116
12,7,202,0.9653,7,114,0.9386,2.6491228070175437,316,243,114,14,116
13,7,202,0.9653,8,114,0.9298,2.6403508771929824,316,243,114,15,116
14,7,202,0.9653,10,114,0.9123,2.6228070175438596,316,243,114,17,116
15,9,202,0.9554,10,114,0.9123,2.6052631578947367,316,243,114,19,116
16,9,202,0.9554,10,114,0.9123,2.6052631578947367,316,243,114,19,116
17,9,202,0.9554,12,114,0.8947,2.587719298245614,316,243,114,21,116
18,9,202,0.9554,14,114,0.8772,2.5701754385964914,316,243,114,23,116
19,10,202,0.9505,15,114,0.8684,2.5526315789473686,316,243,114,25,116
20,11,202,0.9455,15,114,0.8684,2.543859649122807,316,243,114,26,116
21,10,202,0.9505,16,114,0.8596,2.543859649122807,316,243,114,26,116
22,11,202,0.9455,17,114,0.8509,2.526315789473684,316,243,114,28,116
23,12,202,0.9406,18,114,0.8421,2.508771929824561,316,243,114,30,116
24,12,202,0.9406,20,114,0.8246,2.491228070175439,316,243,114,32,116
25,12,202,0.9406,20,114,0.8246,2.491228070175439,316,243,114,32,116
26,13,202,0.9356,21,114,0.8158,2.473684210526316,316,243,114,34,116
27,14,202,0.9307,23,114,0.7982,2.4473684210526314,316,243,114,37,116
28,16,202,0.9208,24,114,0.7895,2.4210526315789473,316,243,114,40,116
29,16,202,0.9208,24,114,0.7895,2.4210526315789473,316,243,114,40,116
30,15,202,0.9257,24,114,0.7895,2.4298245614035086,316,243,114,39,116
31,15,202,0.9257,26,114,0.7719,2.412280701754386,316,243,114,41,116
32,17,202,0.9158,27,114,0.7632,2.3859649122807016,316,243,114,44,116
33,17,202,0.9158,29,114,0.7456,2.3684210526315788,316,243,114,46,116
34,16,202,0.9208,29,114,0.7456,2.3771929824561404,316,243,114,45,116
35,16,202,0.9208,29,114,0.7456,2.3771929824561404,316,243,114,45,116
36,16,202,0.9208,29,114,0.7456,2.3771929824561404,316,243,114,45,116
37,16,202,0.9208,29,114,0.7456,2.3771929824561404,316,243,114,45,116
38,18,202,0.9109,30,114,0.7368,2.3508771929824563,316,243,114,48,116
39,18,202,0.9109,30,114,0.7368,2.3508771929824563,316,243,114,48,116
40,18,202,0.9109,32,114,0.7193,2.3333333333333335,316,243,114,50,116
41,17,202,0.9158,33,114,0.7105,2.3333333333333335,316,243,114,50,116
42,18,202,0.9109,33,114,0.7105,2.324561403508772,316,243,114,51,116
43,18,202,0.9109,33,114,0.7105,2.324561403508772,316,243,114,51,116
44,17,202,0.9158,36,114,0.6842,2.307017543859649,316,243,114,53,116
45,17,202,0.9158,37,114,0.6754,2.2982456140350878,316,243,114,54,116
46,17,202,0.9158,37,114,0.6754,2.2982456140350878,316,243,114,54,116
47,15,202,0.9257,38,114,0.6667,2.307017543859649,316,243,114,53,116
48,16,202,0.9208,39,114,0.6579,2.289473684210526,316,243,114,55,116
49,17,202,0.9158,39,114,0.6579,2.280701754385965,316,243,114,56,116
