"#name","region","country","lat","lon","location_type","conflict_date","population",
"Namburu","Anabrou-Melcoffee_Ward","Port_Vila",-17.7228,168.3118,"conflict",1,2080,
"Health_Center","Freswota-Tassiriki_Ward","Port_Vila",-17.7301,168.3195,"conflict",1,581,
"Police_Post","Freswota-Tassiriki_Ward","Port_Vila",-17.7268,168.3207,"conflict",1,563,
"Beverly_Hills","Freswota-Tassiriki_Ward","Port_Vila",-17.7248,168.3250,"conflict",1,814,
"Freswota","Freswota-Tassiriki_Ward","Port_Vila",-17.7198,168.3203,"conflict",1,734,
"Simbolo","Freswota-Tassiriki_Ward","Port_Vila",-17.7204,168.3171,"conflict",1,890,
"Tete_Residence","Freswota-Tassiriki_Ward","Port_Vila",-17.7231,168.3216,"conflict",1,752,
"Ohien_Whitewood","Malapoa-Tagabe","Port_Vila",-17.7170,168.3165,"conflict",1,5327,
"Ohien1_Freshwind","Malapoa-Tagabe","Port_Vila",-17.7133,168.3175,"conflict",1,4391,
"Tebakor","Anabrou-Melcoffee_Ward","Port_Vila",-17.7184,168.3102,"conflict",1,2044,
"Agathis","Malapoa-Tagabe","Port_Vila",-17.7114,168.3118,"conflict",1,4346,
"Manples","Anabrou-Melcoffee_Ward","Port_Vila",-17.7151,168.3094,"conflict",1,1794,
"Tagabe","Malapoa-Tagabe","Port_Vila",-17.7063,168.3084,"conflict",1,4133,
"Bladiniere_Estate","Malapoa-Tagabe","Port_Vila",-17.7024,168.3118,"town",0,3720,
"Smet","Malapoa-Tagabe","Port_Vila",-17.7044,168.3022,"town",0,4250,
"Blacksands","Malapoa-Tagabe","Port_Vila",-17.7119,168.2970,"conflict",1,3513,
"Malapoa_WW","M.T._Ward","Port_Vila",-17.7266,168.3032,"town",0,300,
"Bellevue","Freswota-Tassiriki_Ward","Port_Vila",-17.7288,168.3397,"conflict",1,883,










