Day,Port sim,Port data,Port error,National sim,National data,National error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,13,13,0.0,0,0,0.0,0,0,0,0,0,0
1,13,100,0.87,0,230,1.0,1.3782608695652174,330,243,230,13,0
2,13,121,0.8926,0,160,1.0,1.675,281,243,160,13,70
3,13,321,0.9595,0,211,1.0,2.4597156398104265,532,243,211,13,19
4,13,202,0.9356,0,114,1.0,2.6578947368421053,316,243,114,13,116
5,13,202,0.9356,0,114,1.0,2.6578947368421053,316,243,114,13,116
6,13,202,0.9356,0,114,1.0,2.6578947368421053,316,243,114,13,116
7,13,202,0.9356,0,114,1.0,2.6578947368421053,316,243,114,13,116
8,13,202,0.9356,0,114,1.0,2.6578947368421053,316,243,114,13,116
9,13,202,0.9356,0,114,1.0,2.6578947368421053,316,243,114,13,116
10,12,202,0.9406,2,114,0.9825,2.6491228070175437,316,243,114,14,116
11,10,202,0.9505,2,114,0.9825,2.6666666666666665,316,243,114,12,116
12,10,202,0.9505,3,114,0.9737,2.6578947368421053,316,243,114,13,116
13,10,202,0.9505,5,114,0.9561,2.6403508771929824,316,243,114,15,116
14,10,202,0.9505,5,114,0.9561,2.6403508771929824,316,243,114,15,116
15,10,202,0.9505,5,114,0.9561,2.6403508771929824,316,243,114,15,116
16,9,202,0.9554,6,114,0.9474,2.6403508771929824,316,243,114,15,116
17,10,202,0.9505,6,114,0.9474,2.6315789473684212,316,243,114,16,116
18,11,202,0.9455,6,114,0.9474,2.6228070175438596,316,243,114,17,116
19,12,202,0.9406,6,114,0.9474,2.6140350877192984,316,243,114,18,116
20,11,202,0.9455,6,114,0.9474,2.6228070175438596,316,243,114,17,116
21,12,202,0.9406,7,114,0.9386,2.6052631578947367,316,243,114,19,116
22,13,202,0.9356,8,114,0.9298,2.587719298245614,316,243,114,21,116
23,13,202,0.9356,8,114,0.9298,2.587719298245614,316,243,114,21,116
24,13,202,0.9356,9,114,0.9211,2.5789473684210527,316,243,114,22,116
25,14,202,0.9307,12,114,0.8947,2.543859649122807,316,243,114,26,116
26,14,202,0.9307,13,114,0.886,2.5350877192982457,316,243,114,27,116
27,15,202,0.9257,13,114,0.886,2.526315789473684,316,243,114,28,116
28,16,202,0.9208,13,114,0.886,2.517543859649123,316,243,114,29,116
29,16,202,0.9208,13,114,0.886,2.517543859649123,316,243,114,29,116
30,16,202,0.9208,15,114,0.8684,2.5,316,243,114,31,116
31,18,202,0.9109,15,114,0.8684,2.482456140350877,316,243,114,33,116
32,18,202,0.9109,15,114,0.8684,2.482456140350877,316,243,114,33,116
33,17,202,0.9158,16,114,0.8596,2.482456140350877,316,243,114,33,116
34,17,202,0.9158,17,114,0.8509,2.473684210526316,316,243,114,34,116
35,17,202,0.9158,18,114,0.8421,2.4649122807017543,316,243,114,35,116
36,17,202,0.9158,19,114,0.8333,2.456140350877193,316,243,114,36,116
37,17,202,0.9158,21,114,0.8158,2.43859649122807,316,243,114,38,116
38,17,202,0.9158,21,114,0.8158,2.43859649122807,316,243,114,38,116
39,17,202,0.9158,21,114,0.8158,2.43859649122807,316,243,114,38,116
40,17,202,0.9158,20,114,0.8246,2.4473684210526314,316,243,114,37,116
41,17,202,0.9158,20,114,0.8246,2.4473684210526314,316,243,114,37,116
42,18,202,0.9109,20,114,0.8246,2.43859649122807,316,243,114,38,116
43,18,202,0.9109,22,114,0.807,2.4210526315789473,316,243,114,40,116
44,18,202,0.9109,22,114,0.807,2.4210526315789473,316,243,114,40,116
45,19,202,0.9059,22,114,0.807,2.412280701754386,316,243,114,41,116
46,20,202,0.901,22,114,0.807,2.4035087719298245,316,243,114,42,116
47,21,202,0.896,22,114,0.807,2.3947368421052633,316,243,114,43,116
48,22,202,0.8911,24,114,0.7895,2.3684210526315788,316,243,114,46,116
49,22,202,0.8911,24,114,0.7895,2.3684210526315788,316,243,114,46,116
